Date,Price,Buy_Signal,Sell_Signal,DCA_Shares,DCA_Portfolio,DCA_Total_Invested,Dip_Shares,Dip_HYSA_Balance,Dip_Equity,Dip_Total_Value,Dip_Total_Invested,HYSA_Rate_Annual,Dist_From_ATH_Pct,StdDev_100d
2001-12-10,1647.5,False,False,5.502949933925713,9066.110016142611,9000.0,3.366715993059942,3005.774033936147,5546.664598566254,8552.438632502402,9000.0,1.79,,172.50022557724122
2001-12-17,1638.0,False,False,5.6250500560258345,9213.831991770317,9200.0,3.366715993059942,3206.4933025935616,5514.680796632185,8721.174099225747,9200.0,1.8199999999999998,,169.04995676427632
2001-12-24,1584.5,False,False,5.751272839238204,9112.891813772934,9400.0,3.366715993059942,3407.2355568020944,5334.561491003478,8741.797047805572,9400.0,1.685,,166.55500863811704
2001-12-31,1583.5,False,False,5.87757533371247,9307.140540933697,9600.0,3.366715993059942,3607.866415106851,5331.194775010418,8939.061190117269,9600.0,1.615,,160.21485353590606
2002-01-07,1661.5,False,False,5.997948490498507,9965.591416963269,9800.0,3.366715993059942,3808.533940320756,5593.798622469094,9402.33256278985,9800.0,1.635,,159.36826442711
2002-01-14,1609.0,False,False,6.122249298453759,9850.699121212097,10000.0,3.366715993059942,4009.3981068528446,5417.046032833447,9426.444139686291,10000.0,1.665,,160.95722565982993
2002-01-22,1506.5,False,False,6.255007346910446,9423.168568120587,10200.0,3.366715993059942,4210.306768644376,5071.9576435448025,9282.264412189179,10200.0,1.75,,162.22773863661754
2002-01-28,1572.5,False,False,6.382193356449397,10035.999053016678,10400.0,3.366715993059942,4411.103915134664,5294.160899086759,9705.264814221424,10400.0,1.745,,162.3093823124181
2002-02-04,1487.0,False,False,6.516692347706963,9690.321521040254,10600.0,3.366715993059942,4612.154130841695,5006.306681680134,9618.46081252183,10600.0,1.74,,162.04106606256622
2002-02-11,1473.0,False,False,6.652469672893656,9799.087828172356,10800.0,3.366715993059942,4813.221152808149,4959.172657777294,9772.393810585443,10800.0,1.73,,156.59619369499515
2002-02-18,1437.0,True,False,6.791648517709245,9759.598919948185,11000.0,6.856176078337182,0.0,9852.32502457053,9852.32502457053,11000.0,1.72,,138.01779839110094
2002-02-25,1407.0,True,False,6.933794928512372,9755.849464416908,11200.0,6.998322489140309,0.0,9846.639742220414,9846.639742220414,11200.0,1.77,,116.96710076653189
2002-03-04,1493.5,True,False,7.067708554223787,10555.622725733227,11400.0,7.132236114851724,0.0,10651.99463753105,10651.99463753105,11400.0,1.72,,105.26110135013805
2002-03-11,1548.0,True,False,7.196907520632056,11140.812841938423,11600.0,7.261435081259993,0.0,11240.70150579047,11240.70150579047,11600.0,1.775,,99.6169875969473
2002-03-18,1511.0,True,False,7.329270194358065,11074.527263675036,11800.0,7.393797754986002,0.0,11172.02840778385,11172.02840778385,11800.0,1.77,,91.41996963865338
2002-03-25,1436.0,True,False,7.468545960374778,10724.83199909818,12000.0,7.533073521002715,0.0,10817.493576159899,10817.493576159899,12000.0,1.77,,87.59472363636972
2002-04-01,1483.5,True,False,7.6033622731486235,11279.587932215984,12200.0,7.66788983377656,0.0,11375.314568407528,11375.314568407528,12200.0,1.815,,85.80373485601994
2002-04-08,1403.0,True,False,7.745913948130805,10867.51726922752,12400.0,7.810441508758742,0.0,10958.049436788515,10958.049436788515,12400.0,1.72,,91.04901069408851
2002-04-15,1362.0,True,False,7.892756826251216,10749.934797354157,12600.0,7.957284386879153,0.0,10837.821334929407,10837.821334929407,12600.0,1.76,,98.36601331392333
2002-04-22,1353.5,False,False,8.040521879816048,10882.84636433102,12800.0,7.957284386879153,200.0,10770.184417640934,10970.184417640934,12800.0,1.71,,101.47849664565739
2002-04-29,1251.0,False,False,8.200393982134193,10258.692871649875,13000.0,7.957284386879153,400.047401408763,9954.56276798582,10354.610169394584,13000.0,1.775,,111.14112301450575
2002-05-06,1165.5,False,False,8.371994153734365,9757.559186177403,13200.0,7.957284386879153,600.1432927974167,9274.214952907652,9874.358245705069,13200.0,1.74,,117.87642504347622
2002-05-13,1240.0,False,False,8.53328447631501,10581.272750630613,13400.0,7.957284386879153,800.2846421441257,9867.03263973015,10667.317281874277,13400.0,1.745,,124.83642402692304
2002-05-20,1298.5,False,False,8.687308350015433,11280.46989249504,13600.0,7.957284386879153,1000.4733452419312,10332.533776362581,11333.007121604513,13600.0,1.72,,124.48410094194233
2002-05-27,1262.5,False,False,8.845724191599592,11167.726791894485,13800.0,7.957284386879153,1200.7075003867756,10046.071538434931,11246.779038821707,13800.0,1.73,,122.92720667550506
2002-06-03,1165.0,False,False,9.017398011342081,10505.268683213524,14000.0,7.957284386879153,1400.9959570461,9270.236310714214,10671.232267760313,14000.0,1.775,,118.10269887252639
2002-06-10,1137.0,False,False,9.19329950650479,10452.781538895946,14200.0,7.957284386879153,1601.3244184217892,9047.432347881597,10648.756766303386,14200.0,1.74,,119.41519252239078
2002-06-17,1149.0,False,False,9.367363910334207,10763.101132974005,14400.0,7.957284386879153,1801.700709082373,9142.919760524146,10944.62046960652,14400.0,1.76,,125.80772638542928
2002-06-24,1063.5,False,False,9.55542220840661,10162.19151864043,14600.0,7.957284386879153,2002.1199598426754,8462.57194544598,10464.691905288655,14600.0,1.7349999999999999,,131.39097538080654
2002-07-01,1002.0,False,False,9.755023006809804,9774.533052823423,14800.0,7.957284386879153,2202.590162530093,7973.1989556529115,10175.789118183005,14800.0,1.755,,144.03773603414714
2002-07-08,1025.0,False,False,9.950144958029316,10198.89858198005,15000.0,7.957284386879153,2403.100919136125,8156.216496551132,10559.317415687257,15000.0,1.725,,154.35575817470408
2002-07-15,1030.0,False,False,10.14431971531087,10448.649306770196,15200.0,7.957284386879153,2603.662056136855,8196.002918485528,10799.664974622383,15200.0,1.755,,165.3757872816923
2002-07-22,943.5,False,False,10.356296397875788,9771.165651395806,15400.0,7.957284386879153,2804.2665184371394,7507.697819020481,10311.96433745762,15400.0,1.725,,173.71349473358745
2002-07-29,961.5,False,False,10.564304718208602,10157.57898655757,15600.0,7.957284386879153,3004.911885040806,7650.928937984306,10655.840823025112,15600.0,1.72,,176.798370057443
2002-08-05,863.5,False,False,10.795920236448325,9322.277124173128,15800.0,7.957284386879153,3205.605046964647,6871.1150680701485,10076.720115034796,15800.0,1.69,,175.98302718893052
2002-08-12,943.5,False,False,11.007896919013243,10385.950743088995,16000.0,7.957284386879153,3406.3280887605383,7507.697819020481,10914.025907781019,16000.0,1.7,,170.9930697396348
2002-08-19,1020.5,False,False,11.2038792806007,11433.558805853016,16200.0,7.957284386879153,3607.1069626561803,8120.408716810176,11727.515679466356,16200.0,1.6749999999999998,,162.46763469450084
2002-08-26,1016.5,False,False,11.400632846759088,11588.743288730613,16400.0,7.957284386879153,3807.9278572176136,8088.5795792626595,11896.507436480273,16400.0,1.725,,152.48927591037346
2002-09-02,936.0,False,False,11.6143080604343,10870.992344566504,16600.0,7.957284386879153,4008.822158938328,7448.018186118888,11456.840345057215,16600.0,1.7349999999999999,,147.16699603584777
2002-09-09,928.0,False,False,11.82982530181361,10978.07788008303,16800.0,7.957284386879153,4209.743117288297,7384.359911023854,11594.10302831215,16800.0,1.71,,136.779521401196
2002-09-16,911.5,False,False,12.049243842680314,10982.885762603106,17000.0,7.957284386879153,4410.718742141627,7253.0647186403485,11663.783460781975,17000.0,1.755,,131.32657218018988
2002-09-23,849.5,False,False,12.284676450096441,10435.832644356928,17200.0,7.957284386879153,4611.720144160239,6759.713086653841,11371.43323081408,17200.0,1.6800000000000002,,131.17797071151986
2002-09-30,837.0,False,False,12.523625076141842,10482.274188730722,17400.0,7.957284386879153,4812.78395984271,6660.247031817851,11473.030991660562,17400.0,1.695,,129.94630388715004
2002-10-07,814.0,False,False,12.769325321842087,10394.23081197946,17600.0,7.957284386879153,5013.8727535782855,6477.229490919631,11491.102244497917,17600.0,1.67,,117.39822359828224
2002-10-14,907.5,True,False,12.989710996773217,11788.162729571695,17800.0,13.78389552267215,0.0,12508.885186824977,12508.885186824977,17800.0,1.6400000000000001,,104.80489328536756
2002-10-21,980.0,True,False,13.193792629426278,12929.916776837752,18000.0,13.987977155325211,0.0,13708.217612218707,13708.217612218707,18000.0,1.705,,89.88613953663574
2002-10-28,987.0,True,False,13.396426874613715,13222.273325243736,18200.0,14.190611400512648,0.0,14006.133452305983,14006.133452305983,18200.0,1.675,,77.98574898945259
2002-11-04,1043.0,True,False,13.588181428784376,14172.473230222104,18400.0,14.382365954683308,0.0,15000.807690734691,15000.807690734691,18400.0,1.56,,69.68265928508896
