Date,Price,Buy_Signal,Sell_Signal,DCA_Shares,DCA_Portfolio,DCA_Total_Invested,Put_Shares,Put_Cash,Put_Equity,Put_Total_Value,Put_Total_Invested,Total_Put_Premium,Total_Call_Premium,Total_Premium,Put_Assignments,Call_Assignments,Active_Put_Strike,Active_Call_Strike,Realized_Vol,HYSA_Rate_Annual,StdDev_100d
2001-11-05,1479.0,False,False,4.876700256673304,7212.639679619817,8000.0,0.0,6820.3252554400615,0.0,6820.3252554400615,8000.0,173.0934573883172,196.3123401841607,369.4057975724779,3,1,1376.2564696319018,,0.4749153614473884,2.21,205.48706073619627
2001-11-12,1529.5,False,False,5.007461943499065,7658.913042581819,8200.0,0.0,7058.469401652887,0.0,7058.469401652887,8200.0,209.464208971667,196.3123401841607,405.7765491558277,3,1,1430.0911473355277,,0.46906413522124285,1.8900000000000001,198.8177053289447
2001-11-19,1628.0,False,False,5.1303120663491875,8352.148044016478,8400.0,0.0,7306.155807236601,0.0,7306.155807236601,8400.0,255.25363673094725,196.3123401841607,451.56597691510797,3,1,1531.5409473126515,,0.47269754067297187,1.9549999999999998,192.91810537469695
2001-11-26,1618.0,False,False,5.253921460663156,8500.844923352986,8600.0,0.0,7559.7568763494255,0.0,7559.7568763494255,8600.0,307.3180787200755,196.3123401841607,503.6304189042362,3,1,1525.9869950685252,,0.4772075948736621,1.99,184.02600986294985
2001-12-03,1567.0,False,False,5.381553879297488,8432.894928859165,8800.0,0.0,7816.213734656142,0.0,7816.213734656142,8800.0,361.80114423921765,196.3123401841607,558.1134844233784,3,1,1479.8969369175131,,0.47260355215915795,1.9,174.20612616497394
2001-12-10,1647.5,False,False,5.502949933925713,9066.110016142611,9000.0,0.0,8079.368962817588,0.0,8079.368962817588,9000.0,423.0438903934024,196.3123401841607,619.3562305775631,3,1,1561.2498872113795,,0.4709985596102557,1.79,172.50022557724122
2001-12-17,1638.0,False,False,5.6250500560258345,9213.831991770317,9200.0,0.0,8344.6115800459,0.0,8344.6115800459,9200.0,486.3531497574721,196.3123401841607,682.6654899416328,3,1,1553.4750216178618,,0.4671596632908797,1.8199999999999998,169.04995676427632
2001-12-24,1584.5,False,False,5.751272839238204,9112.891813772934,9400.0,0.0,8611.71465131522,0.0,8611.71465131522,9400.0,551.5245709407474,196.3123401841607,747.836911124908,3,1,1501.2224956809414,,0.4716845838857402,1.685,166.55500863811704
2001-12-31,1583.5,False,False,5.87757533371247,9307.140540933697,9600.0,0.0,8883.674362303143,0.0,8883.674362303143,9600.0,621.8898011199888,196.3123401841607,818.2021413041494,3,1,1503.392573232047,,0.46978265989428963,1.615,160.21485353590606
2002-01-07,1661.5,False,False,5.997948490498507,9965.591416963269,9800.0,0.0,9162.931695264795,0.0,9162.931695264795,9800.0,699.5034821426108,196.3123401841607,895.8158223267715,3,1,1581.815867786445,,0.4687202206182302,1.635,159.36826442711
2002-01-14,1609.0,False,False,6.122249298453759,9850.699121212097,10000.0,0.0,9439.267578804034,0.0,9439.267578804034,10000.0,773.7602719857084,196.3123401841607,970.0726121698691,3,1,1528.521387170085,,0.4653854439259872,1.665,160.95722565982993
2002-01-22,1506.5,False,False,6.255007346910446,9423.168568120587,10200.0,6.126843148920135,303.5687824811001,9230.089203848183,9533.657986329283,10200.0,773.7606040187347,223.48475156511077,997.2453555838455,4,1,1182.0445227267649,1638.8090033928358,0.46095135441110285,1.75,162.22773863661754
2002-01-28,1572.5,False,False,6.382193356449397,10035.999053016678,10400.0,6.126843148920135,531.4881491201278,9634.460851676913,10165.949000797042,10400.0,773.761543239804,251.34570364865448,1025.1072468884586,4,1,1247.8812353751637,1707.9394328393323,0.452581319107472,1.745,162.3093823124181
2002-02-04,1487.0,False,False,6.516692347706963,9690.321521040254,10600.0,6.126843148920135,757.6096202091804,9110.61576244424,9868.225382653422,10600.0,773.7619386106718,277.34024024805063,1051.1021788587225,4,1,1162.9178678748676,1613.2128764371714,0.4463863020173764,1.74,162.04106606256622
2002-02-11,1473.0,False,False,6.652469672893656,9799.087828172356,10800.0,6.126843148920135,982.8999511418546,9024.839958359358,10007.739909501213,10800.0,773.7624623731352,302.4547744148391,1076.2172367879743,4,1,1159.8076126100098,1594.670708918113,0.43509669969907605,1.73,156.59619369499515
2002-02-18,1437.0,True,False,6.791648517709245,9759.598919948185,11000.0,6.126843148920135,1212.414018221456,8804.273604998234,10016.68762321969,11000.0,780.5308599634991,324.96907793935964,1105.4999379028586,4,1,1367.9911008044496,1545.315615683086,0.3990072855047992,1.72,138.01779839110094
